matched_snname,cubename,rasn,decsn,redshift,sample_ra_deg,sample_dec_deg,matched_in_list_snlist,sep_arcsec,snlist_snname,snlist_cubename,snlist_sem,snlist_sntype,snlist_notes
SN2013da,ASASSN-13an,13:45:36.209,-07:19:32.59,0.024245,206.4008708333333,-7.325719444444444,True,0.0,SN2013da,ASASSN-13an,P96,Ia,JOINED WITH P98 - SN2013da. 8 POINTINGS. BETTER SEEING IN P96. NO LC
SN2013dl,ASASSN-13ar,01:18:41.760,-07:26:39.70,0.017731,19.674,-7.444361111111111,True,0.0,SN2013dl,ASASSN-13ar,P96,Ia,NO LC
SN2013ef,ASASSN-13bb,01:55:20.710,+06:36:35.32,0.017251,28.83629166666666,6.609811111111111,True,0.0,SN2013ef,ASASSN-13bb,P96,Ia,NO LC
SN2013ex,ASASSN-13cc,05:32:46.620,-14:02:45.38,0.010242,83.19424999999998,-14.04593888888889,True,0.0,SN2013ex,ASASSN-13cc,P96,Ia,572;791 CREATED MANUALLY -- BAD
ASASSN-13ch,ASASSN-13ch,16:16:34.06,-00:35:27.38,0.016468,244.14191666666662,-0.5909388888888889,True,0.0,ASASSN-13ch,ASASSN-13ch,P96,Ia,
ASASSN-13cj,ASASSN-13cj,16:17:11.01,+04:33:14.72,0.016464,244.29587499999997,4.554088888888889,True,0.0,ASASSN-13cj,ASASSN-13cj,P96,Ia,NO LC
ASASSN-13cp,ASASSN-13cp,15:33:49.236,+21:08:21.87,0.023508,233.45514999999997,21.139408333333332,True,0.0,ASASSN-13cp,ASASSN-13cp,P96,Ia,NO LC
ASASSN-13cu,ASASSN-13cu,00:40:10.14,-10:26:25.90,0.02718,10.04225,-10.440527777777778,True,0.0,ASASSN-13cu,ASASSN-13cu,P96,Ia,
SN2008hv,ASASSN-13dd,09:07:34.061,+03:23:32.10,0.012646,136.89192083333333,3.3922499999999998,True,0.0,SN2008hv,ASASSN-13dd,P96,Ia,
SN2013hk,ASASSN-13dm,03:02:10.850,+15:55:38.78,0.017004,45.54520833333333,15.927438888888888,True,0.0,SN2013hk,ASASSN-13dm,P96,Ia,NO LC
ASASSN-14ba,ASASSN-14ba,10:21:31.90,+08:24:21.12,0.032646,155.38291666666663,8.405866666666666,True,0.0,ASASSN-14ba,ASASSN-14ba,P96,Ia-91T,NO LC
ASASSN-14cu,ASASSN-14cu,12:47:02.68,-24:14:41.30,0.024727,191.76116666666664,-24.244805555555555,True,0.0,ASASSN-14cu,ASASSN-14cu,P96,Ia,NO LC
ASASSN-14db,ASASSN-14db,22:02:01.85,-70:02:26.19,0.037378,330.5077083333333,-70.04060833333334,True,0.0,ASASSN-14db,ASASSN-14db,P96,Ia,NO LC
ASASSN-14dd,ASASSN-14dd,07:45:14.38,-71:24:14.04,0.017842,116.30991666666665,-71.40390000000001,True,0.0,ASASSN-14dd,ASASSN-14dd,P96,Ibn,JOINED WITH SN2016iye FROM P100 - 20 POINTINGS IN TOTAL
ASASSN-14dz,ASASSN-14dz,15:05:54.522,+12:44:43.33,0.02232,226.477175,12.745369444444444,True,0.0,ASASSN-14dz,ASASSN-14dz,P96,Ia,NO LC
ASASSN-14fa,ASASSN-14fa,02:52:23.06,-31:49:18.00,0.022315,43.09608333333333,-31.821666666666665,True,0.0,ASASSN-14fa,ASASSN-14fa,P96,Ia,MUSE-DEEP JOINING 13 POINTINGS
ASASSN-14hr,ASASSN-14hr,01:50:41.27,-14:31:06.37,0.033551,27.671958333333333,-14.518436111111113,True,0.0,ASASSN-14hr,ASASSN-14hr,P96,Ia,
ASASSN-14hu,ASASSN-14hu,06:43:26.92,-69:38:14.70,0.021634,100.86216666666665,-69.63741666666667,True,0.0,ASASSN-14hu,ASASSN-14hu,P96,Ia-91T,
ASASSN-14ig,ASASSN-14ig,01:16:04.95,-61:37:16.70,0.029115,19.020624999999995,-61.62130555555556,True,0.0,ASASSN-14ig,ASASSN-14ig,P96,Ia,NO LC
ASASSN-14jc,ASASSN-14jc,07:35:35.29,-62:46:12.64,0.011124,113.89704166666665,-62.770177777777775,True,0.0,ASASSN-14jc,ASASSN-14jc,P96,Ia,
ASASSN-14jg,ASASSN-14jg,23:33:13.90,-60:34:11.50,0.014806,353.30791666666664,-60.569861111111116,True,0.0,ASASSN-14jg,ASASSN-14jg,P96,Ia,
ASASSN-14kq,ASASSN-14kq,23:45:15.51,-29:47:01.14,0.033746,356.314625,-29.78365,True,0.0,ASASSN-14kq,ASASSN-14kq,P96,Ia-91T,
ASASSN-14lt,ASASSN-14lt,03:11:02.54,-13:06:38.76,0.031894,47.76058333333333,-13.110766666666667,True,0.0,ASASSN-14lt,ASASSN-14lt,P96,Ia-91T,
ASASSN-14lv,ASASSN-14lv,23:32:07.37,-41:16:11.76,0.049281,353.03070833333334,-41.269933333333334,True,0.0,ASASSN-14lv,ASASSN-14lv,P96,Ia,NO LC
ASASSN-14me,ASASSN-14me,01:26:40.08,-57:59:49.31,0.017868,21.666999999999998,-57.997030555555554,True,0.0,ASASSN-14me,ASASSN-14me,P96,Ia-91T,REREDUCED JOINING 8 POINTINGS
ASASSN-14mf,ASASSN-14mf,00:04:54.46,-32:26:14.63,0.031209,1.2269166666666667,-32.437397222222216,True,0.0,ASASSN-14mf,ASASSN-14mf,P96,Ia,
ASASSN-14mg,ASASSN-14mg,02:53:58.10,-21:38:52.86,0.032295,43.492083333333326,-21.648016666666667,True,0.0,ASASSN-14mg,ASASSN-14mg,P96,Ia,NO LC - 164;171 CREATED MANUALLY -- BAD
ASASSN-14mw,ASASSN-14mw,01:41:25.16,-65:37:01.26,0.026782,25.354833333333332,-65.61701666666666,True,0.0,ASASSN-14mw,ASASSN-14mw,P96,Ia,JOINED WITH P106; NO LC - REDSHIFT TOO LARGE ?? SN OUT OF FOV in P96. P106 in FOV
ASASSN-15aj,ASASSN-15aj,10:52:53.26,-32:55:34.86,0.011142,163.22191666666666,-32.92635,True,0.0,ASASSN-15aj,ASASSN-15aj,P96,Ia,
ASASSN-15as,ASASSN-15as,09:39:16.55,+06:25:48.54,0.028732,144.8189583333333,6.43015,True,0.0,ASASSN-15as,ASASSN-15as,P102,Ia-91T,
ASASSN-15ba,ASASSN-15ba,14:04:55.09,+08:55:14.53,0.023225,211.22954166666665,8.920702777777777,True,0.0,ASASSN-15ba,ASASSN-15ba,P102,Ia,
ASASSN-15be,ASASSN-15be,02:52:46.39,-34:18:52.52,0.021522,43.19329166666666,-34.314588888888885,True,0.0,ASASSN-15be,ASASSN-15be,P99,Ia-91T,
ASASSN-15bm,ASASSN-15bm,15:05:51.58,-05:37:37.05,0.020711,226.46491666666665,-5.6269583333333335,True,0.0,ASASSN-15bm,ASASSN-15bm,P99,Ia-91T,
ASASSN-15da,ASASSN-15da,05:23:51.88,-24:42:08.38,0.048994,80.96616666666667,-24.70232777777778,True,0.0,ASASSN-15da,ASASSN-15da,P106,Ia,
ASASSN-15db,ASASSN-15db,15:46:58.69,+17:53:02.55,0.011,236.74454166666666,17.884041666666665,True,0.0,ASASSN-15db,ASASSN-15db,P101,Ia,
ASASSN-15fr,ASASSN-15fr,09:20:20.44,-07:38:26.78,0.033216,140.08516666666668,-7.640772222222222,True,0.0,ASASSN-15fr,ASASSN-15fr,P102,Ia-91T,
ASASSN-15go,ASASSN-15go,06:11:30.50,-16:29:03.52,0.019127,92.87708333333333,-16.48431111111111,True,0.0,ASASSN-15go,ASASSN-15go,P106,Ia,
ASASSN-15hf,ASASSN-15hf,10:29:30.76,-35:15:35.20,0.005938,157.37816666666663,-35.25977777777778,True,0.0,ASASSN-15hf,ASASSN-15hf,P99,Ia,
ASASSN-15hg,ASASSN-15hg,09:53:48.62,+09:11:37.78,0.030008,148.4525833333333,9.193827777777779,True,0.0,ASASSN-15hg,ASASSN-15hg,P98,Ia,
ASASSN-15ho,ASASSN-15ho,09:09:23.89,-04:43:30.98,0.041378,137.34954166666665,-4.725272222222222,True,0.0,ASASSN-15ho,ASASSN-15ho,P98,Ia,NO LC
ASASSN-15hx,ASASSN-15hx,13:43:16.692,-31:33:21.55,0.008188,205.81954999999996,-31.55598611111111,True,0.0,ASASSN-15hx,ASASSN-15hx,P99,Ia,
SN2000dx,Arp10,02:18:26.880,+05:39:02.02,0.030369,34.611999999999995,5.650561111111111,True,0.0,SN2000dx,Arp10,arx,Ia,
SN2023abqf,Arp303,09:46:20.11,+03:04:16.58,0.019932,146.58379166666666,3.0712722222222224,True,0.0,SN2023abqf,Arp303,arx,Ia,
CSP12J,CSP12J,06:07:01.59,-69:21:17.10,0.014756,91.75662499999997,-69.35475,True,0.0,CSP12J,CSP12J,P102,Ia-91bg,
CSP12N,CSP12N,12:38:16.19,-15:06:32.15,0.097314,189.5674583333333,-15.108930555555554,True,0.0,CSP12N,CSP12N,P95,Ia,148;158 CREATED MANUALLY -- BAD
CSP13Q,CSP13Q,02:02:21.56,-65:44:08.66,0.089079,30.58983333333333,-65.73573888888889,True,0.0,CSP13Q,CSP13Q,P95,Ia,REREDUCED JOINING 6 OF THE 8 POINTINGS
CSP13V,CSP13V,10:13:10.00,-16:31:54.00,0.055605,153.29166666666666,-16.531666666666666,True,0.0,CSP13V,CSP13V,P106,Ia,
CSP13aad,CSP13aad,01:46:09.34,-67:28:00.10,0.086723,26.538916666666662,-67.46669444444444,True,0.0,CSP13aad,CSP13aad,P95,Ia,
CSP13aaf,CSP13aaf,09:55:08.22,+06:48:31.40,0.077753,148.78424999999996,6.808722222222222,True,0.0,CSP13aaf,CSP13aaf,P106,Ia-91T,
CSP13aam,CSP13aam,05:14:47.50,-66:50:29.10,0.07491,78.69791666666666,-66.84141666666666,True,0.0,CSP13aam,CSP13aam,P106,Ia-91T,
CSP13aao,CSP13aao,05:58:30.38,-63:33:38.30,0.06148,89.62658333333331,-63.56063888888889,True,0.0,CSP13aao,CSP13aao,P95,Ia,
CSP13aaq,CSP13aaq,04:19:47.21,-63:43:22.04,0.059722,64.94670833333333,-63.72278888888889,True,0.0,CSP13aaq,CSP13aaq,P95,Ia,151;153 CREATED MANUALLY -- BAD
CSP13aay,CSP13aay,03:25:33.51,-53:44:19.00,0.059555,51.38962499999999,-53.73861111111111,True,0.0,CSP13aay,CSP13aay,P106,Ia,
CSP13abl,CSP13abl,06:38:06.97,-75:43:37.21,0.040023,99.52904166666664,-75.72700277777778,True,0.0,CSP13abl,CSP13abl,P95,Ia,
CSP13abm,CSP13abm,03:05:59.89,+04:32:38.20,0.028157,46.499541666666666,4.543944444444445,True,0.0,CSP13abm,CSP13abm,P106,Ia,
CSP14aal,CSP14aal,09:57:39.11,+12:33:17.70,0.077313,149.4129583333333,12.554916666666667,True,0.0,CSP14aal,CSP14aal,P106,Ia,
CSP14aaq,CSP14aaq,06:13:48.04,-67:55:15.00,0.036521,93.45016666666666,-67.92083333333333,True,0.0,CSP14aaq,CSP14aaq,P95,Ia-pec,
CSP14aar,CSP14aar,05:48:23.49,-66:47:29.70,0.041974,87.09787499999999,-66.79158333333334,True,0.0,CSP14aar,CSP14aar,P95,Ia,
SN2014bz,CSP14abn,13:56:04.19,-43:35:09.90,0.022516,209.01745833333334,-43.586083333333335,True,0.0,SN2014bz,CSP14abn,P95,Ia,153;154 CREATED MANUALLY
CSP14acl,CSP14acl,01:01:07.04,-10:18:39.90,0.029613,15.27933333333333,-10.311083333333334,True,0.0,CSP14acl,CSP14acl,P106,Ia-91T,COMBINED 4 POINTINGS
CSS121006:232854+085452,CSS121006232854085452,23:28:54.48,+08:54:51.60,0.075645,352.227,8.914333333333333,True,0.0,CSS121006:232854+085452,CSS121006232854085452,P99,Ia,NO LC
CSS121114:090202+101800,CSS121114_090202+101800,09:02:02.34,+10:18:00.10,0.037193,135.50975,10.300027777777778,True,0.0,CSS121114:090202+101800,CSS121114_090202+101800,P98,Ia,
CSS130317:082848+293031,CSS130317_082848+293031,08:28:47.78,+29:30:30.80,0.078281,127.1990833333333,29.508555555555557,True,0.0,CSS130317:082848+293031,CSS130317_082848+293031,P98,Ia,NO LC
SN2020xyw,ESO123-11,07:28:08.020,-62:21:28.91,0.010807,112.03341666666665,-62.35803055555556,True,0.0,SN2020xyw,ESO123-11,arx,Ia,SN spectrum there!
SN2003ic,Holm15A,00:41:50.230,-09:18:19.01,0.055541,10.459291666666665,-9.305280555555557,True,0.0,SN2003ic,Holm15A,arx,Ia,
SN2000ey,IC1481,23:19:25.200,+05:54:21.10,0.0205,349.85499999999996,5.905861111111111,True,0.0,SN2000ey,IC1481,arx,Ia,NO LC
SN2005dm,IC219,02:18:39.250,-06:54:10.80,0.016847,34.66354166666666,-6.9030000000000005,True,0.0,SN2005dm,IC219,arx,Ia-91bg,
SN2020ejm,IC2560,10:16:18.850,-33:33:49.17,0.009716,154.07854166666667,-33.56365833333333,True,0.0,SN2020ejm,IC2560,arx,Ia,COMBINED 10 POINTINGS
SN2017dps,IC4296,13:36:40.039,-33:58:01.29,0.012493,204.16682916666662,-33.967025,True,0.0,SN2017dps,IC4296,arx,Ia,NO LC.  COMBINED 18 POINTINGS
SN1999ee,IC5179,22:16:10.001,-36:50:39.70,0.011292,334.0416708333333,-36.84436111111111,True,0.0,SN1999ee,IC5179,arx,Ia,
KISS13j,KISS13j,12:09:39.70,+16:12:14.30,0.076476,182.41541666666666,16.203972222222223,True,0.0,KISS13j,KISS13j,P106,Ia,
KISS13l,KISS13l,11:14:54.07,+29:35:06.00,0.13081,168.72529166666664,29.584999999999997,True,0.0,KISS13l,KISS13l,P106,Ia,
KISS15n,KISS15n,13:00:32.33,+27:58:41.00,0.02346,195.13470833333332,27.978055555555553,True,0.0,KISS15n,KISS15n,P106,Ia-03fg,
LSQ11bk,LSQ11bk,04:20:44.25,-08:35:55.75,0.040345,65.18437499999999,-8.598819444444445,True,0.0,LSQ11bk,LSQ11bk,P106,Ia,COMBINED 4 POINTINGS
LSQ11ot,LSQ11ot,05:15:48.34,+06:46:39.36,0.027385,78.95141666666665,6.7776,True,0.0,LSQ11ot,LSQ11ot,P102,Ia-91T,
SN2011jq,LSQ11pn,05:16:41.549,+06:29:30.19,0.033029,79.17312083333331,6.491719444444445,True,0.0,SN2011jq,LSQ11pn,P102,Ia-91bg,
LSQ12bld,LSQ12bld,13:42:44.03,+08:05:33.74,0.083578,205.6834583333333,8.092705555555556,True,0.0,LSQ12bld,LSQ12bld,P102,Ia,
LSQ12btn,LSQ12btn,09:21:30.50,-09:41:29.86,0.054152,140.3770833333333,-9.691627777777779,True,0.0,LSQ12btn,LSQ12btn,P102,Ia,COMBINED 6 POINTINGS P102 and P106
LSQ12ca,LSQ12ca,05:31:03.62,-19:47:59.28,0.098679,82.76508333333332,-19.7998,True,0.0,LSQ12ca,LSQ12ca,P95,Ia-91T,
LSQ12cda,LSQ12cda,13:50:02.32,+09:37:47.10,0.137579,207.50966666666667,9.62975,True,0.0,LSQ12cda,LSQ12cda,P102,Ia,
LSQ12cfx,LSQ12cfx,13:59:40.96,-25:22:50.98,0.037941,209.92066666666662,-25.380827777777778,True,0.0,LSQ12cfx,LSQ12cfx,P95,Ia-91T,NO LC - NO WAY
LSQ12cid,LSQ12cid,10:03:57.04,-06:14:37.76,0.062722,150.98766666666668,-6.243822222222223,True,0.0,LSQ12cid,LSQ12cid,P102,Ia,
LSQ12dbr,LSQ12dbr,20:58:51.89,-02:58:27.10,0.019654,314.71620833333327,-2.9741944444444446,True,0.0,LSQ12dbr,LSQ12dbr,P97,Ia,NO LC
LSQ12fhs,LSQ12fhs,22:52:23.45,-20:36:53.30,0.033021,343.0977083333333,-20.614805555555556,True,0.0,LSQ12fhs,LSQ12fhs,P99,Ia-91bg,
LSQ12fmx,LSQ12fmx,03:12:52.18,-00:12:12.80,0.067314,48.217416666666665,-0.20355555555555557,True,0.0,LSQ12fmx,LSQ12fmx,P98,Ia,REREDUCED JOINING THE 6 POINTINGS WITH BETTER SEEING; NO LC
LSQ12fuk,LSQ12fuk,04:58:15.88,-16:17:58.03,0.02042,74.56616666666666,-16.29945277777778,True,0.0,LSQ12fuk,LSQ12fuk,P98,Ia,MUSE-DEEP available 8 pointings
SN2012he,LSQ12fvl,05:00:50.069,-38:39:11.41,0.055877,75.20862083333333,-38.653169444444444,True,0.0,SN2012he,LSQ12fvl,P99,Ia,
LSQ12fxd,LSQ12fxd,05:22:17.02,-25:35:47.01,0.031577,80.57091666666666,-25.596391666666666,True,0.0,LSQ12fxd,LSQ12fxd,P102,Ia-91T,
LSQ12gln,LSQ12gln,05:22:59.41,-33:27:51.32,0.101994,80.74754166666666,-33.46425555555556,True,0.0,LSQ12gln,LSQ12gln,P99,Ia,
LSQ12gpw,LSQ12gpw,03:12:58.24,-11:42:40.13,0.05075,48.242666666666665,-11.711147222222221,True,0.0,LSQ12gpw,LSQ12gpw,P102,Ia-03fg,
LSQ12gxj,LSQ12gxj,02:52:57.38,+01:36:24.25,0.035366,43.239083333333326,1.6067361111111111,True,0.0,LSQ12gxj,LSQ12gxj,P102,Ia-91T,
LSQ12gyc,LSQ12gyc,02:45:50.07,-17:55:45.74,0.089708,41.45862499999999,-17.929372222222224,True,0.0,LSQ12gyc,LSQ12gyc,P106,Ia-91T,MUSE-DEEP
LSQ12hjm,LSQ12hjm,03:10:28.72,-16:29:37.08,0.071255,47.61966666666666,-16.493633333333335,True,0.0,LSQ12hjm,LSQ12hjm,P106,Ia,MUSE-DEEP
LSQ12hnx,LSQ12hnx,02:35:17.81,-30:57:49.48,0.156433,38.82420833333333,-30.963744444444444,True,0.0,LSQ12hnx,LSQ12hnx,P95,Ia,NO LC
LSQ12hvj,LSQ12hvj,11:07:38.62,-29:42:40.96,0.071163,166.91091666666665,-29.711377777777777,True,0.0,LSQ12hvj,LSQ12hvj,P95,Ia-91T,
LSQ12hxx,LSQ12hxx,03:19:44.23,-27:00:25.68,0.06931,49.93429166666665,-27.007133333333332,True,0.0,LSQ12hxx,LSQ12hxx,P95,Ia,
LSQ12hzj,LSQ12hzj,09:59:12.43,-09:00:08.25,0.033429,149.80179166666665,-9.002291666666666,True,0.0,LSQ12hzj,LSQ12hzj,P97,Ia-91T,
LSQ12hzs,LSQ12hzs,04:01:53.21,-26:39:50.15,0.072065,60.471708333333325,-26.663930555555552,True,0.0,LSQ12hzs,LSQ12hzs,P95,Ia,
LSQ13cmt,LSQ13cmt,01:02:41.95,-21:52:23.40,0.056896,15.674791666666666,-21.873166666666666,True,0.0,LSQ13cmt,LSQ13cmt,P99,Ia,NO LC - HUGE JET - COMBINED WITH ONE FROM THE ARXIV
LSQ13crf,LSQ13crf,03:10:50.23,+01:25:18.90,0.048844,47.70929166666666,1.4219166666666667,True,0.0,LSQ13crf,LSQ13crf,P98,Ia,
LSQ13cwp,LSQ13cwp,04:03:50.65,-02:39:17.98,0.066253,60.96104166666665,-2.654994444444444,True,0.0,LSQ13cwp,LSQ13cwp,P98,Ia,
LSQ13dby,LSQ13dby,03:26:42.84,-34:38:05.49,0.1,51.67849999999999,-34.634858333333334,True,0.0,LSQ13dby,LSQ13dby,P102,Ia,
LSQ13dcy,LSQ13dcy,04:55:16.42,-20:00:05.40,0.079911,73.81841666666666,-20.0015,True,0.0,LSQ13dcy,LSQ13dcy,P95,Ia,
LSQ13dhj,LSQ13dhj,02:12:34.48,-37:20:22.81,0.093442,33.14366666666667,-37.339669444444446,True,0.0,LSQ13dhj,LSQ13dhj,P95,Ia,
LSQ13dkp,LSQ13dkp,03:10:09.97,-36:37:44.91,0.069111,47.54154166666666,-36.62914166666667,True,0.0,LSQ13dkp,LSQ13dkp,P95,Ia,216;235 CREATED MANUALLY -- BAD
LSQ13dqh,LSQ13dqh,04:22:05.90,-02:53:24.24,0.103938,65.52458333333331,-2.890066666666667,True,0.0,LSQ13dqh,LSQ13dqh,P102,Ia,
LSQ13dsm,LSQ13dsm,03:33:12.83,-26:12:24.02,0.04258,53.303458333333325,-26.20667222222222,True,0.0,LSQ13dsm,LSQ13dsm,P95,Ia,
LSQ13lq,LSQ13lq,13:44:10.81,+03:03:43.42,0.075574,206.04504166666663,3.062061111111111,True,0.0,LSQ13lq,LSQ13lq,P102,Ia,
LSQ13pf,LSQ13pf,13:48:14.35,-11:38:38.58,0.086209,207.05979166666665,-11.64405,True,0.0,LSQ13pf,LSQ13pf,P102,Ia,
LSQ13ry,LSQ13ry,10:32:48.00,+04:11:51.75,0.029911,158.2,4.197708333333334,True,0.0,LSQ13ry,LSQ13ry,P102,Ia,
LSQ14act,LSQ14act,15:59:44.65,-10:26:40.80,0.058822,239.93604166666663,-10.444666666666667,True,0.0,LSQ14act,LSQ14act,P98,Ia,
LSQ14aeg,LSQ14aeg,10:19:36.79,+19:33:20.30,0.064615,154.90329166666666,19.55563888888889,True,0.0,LSQ14aeg,LSQ14aeg,P98,Ia,NO LC
LSQ14age,LSQ14age,13:24:08.62,-13:26:26.00,0.080404,201.03591666666665,-13.440555555555555,True,0.0,LSQ14age,LSQ14age,P98,Ia,
LSQ14ahc,LSQ14ahc,13:43:48.25,-32:54:35.12,0.050859,205.95104166666664,-32.909755555555556,True,0.0,LSQ14ahc,LSQ14ahc,P95,Ia,
LSQ14bjj,LSQ14bjj,14:20:49.08,-05:15:02.25,0.080975,215.20449999999997,-5.250625,True,0.0,LSQ14bjj,LSQ14bjj,P95,Ia,MUSE-DEEP JOINING 7 POINTINGS
LSQ14fmg,LSQ14fmg,22:16:46.10,+15:21:14.10,0.065923,334.1920833333333,15.353916666666667,True,0.0,LSQ14fmg,LSQ14fmg,P99,Ia-03fg,NO LC
LSQ14fms,LSQ14fms,00:14:59.82,-51:12:39.54,0.076367,3.7492499999999995,-51.21098333333334,True,0.0,LSQ14fms,LSQ14fms,P106,Ia,
LSQ14foj,LSQ14foj,00:26:34.67,-32:48:33.09,0.046111,6.644458333333333,-32.80919166666666,True,0.0,LSQ14foj,LSQ14foj,P102,Ia,
LSQ14gde,LSQ14gde,01:00:42.49,-14:59:33.30,0.055595,15.177041666666666,-14.992583333333332,True,0.0,LSQ14gde,LSQ14gde,P99,Ia,NO LC
LSQ14gfb,LSQ14gfb,05:10:05.76,-36:18:43.57,0.053295,77.52399999999999,-36.312102777777774,True,0.0,LSQ14gfb,LSQ14gfb,P102,Ia-91bg,
LSQ14gfn,LSQ14gfn,03:28:32.16,-04:12:14.22,0.121436,52.13399999999999,-4.20395,True,0.0,LSQ14gfn,LSQ14gfn,P106,Ia,
LSQ14ghv,LSQ14ghv,03:23:44.15,-31:35:03.17,0.067037,50.93395833333333,-31.584213888888886,True,0.0,LSQ14ghv,LSQ14ghv,P106,Ia,
