sn_name,filters,has_B_family,has_g_family,has_r_family,B_family_filters,g_family_filters,r_family_filters
ASAS14hr,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
ASAS14hu,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
ASAS14jc,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
ASAS14jg,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
ASAS14kq,"B,g,i,r,u,V,Y,Jrc2",True,True,True,B,g,r
ASAS14lo,"B,g,i,r,u,V,Y",True,True,True,B,g,r
ASAS14lq,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
ASAS14lt,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
ASAS14lw,"Jrc2,g,i,H,B,u,V,Y,r",True,True,True,B,g,r
ASAS14me,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
ASAS14mf,"B,g,i,r,u,V,Y",True,True,True,B,g,r
ASAS14mw,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
ASAS15aj,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
ASAS15as,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
ASAS15ba,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
ASAS15be,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
ASAS15bm,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
ASAS15da,"B,g,i,r,u,V",True,True,True,B,g,r
ASAS15db,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
ASAS15fr,"Jrc2,g,i,H,B,u,V,Y,r",True,True,True,B,g,r
ASAS15go,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
ASAS15hf,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
ASAS15hg,"B,g,i,r,u,V,Y,Jrc2",True,True,True,B,g,r
ASAS15hx,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
ASASSN-13ch,"B_swift,U_swift,V_swift,uvm2_swift,uvw1_swift,uvw2_swift",True,False,False,B_swift,,
ASASSN-13cu,"Y_p1,g_p1,i_p1,r_p1",False,True,True,,g_p1,r_p1
ASASSN-14ba,ATri,False,False,False,,,
ASASSN-14cu,ATri,False,False,False,,,
ASASSN-14dz,ATgr,False,False,False,,,
ASASSN-14fa,"B_swift,B_swift~,U_swift,V_swift,uvm2_swift,uvw1_swift,uvw2_swift",True,False,False,"B_swift,B_swift~",,
ASASSN-14ig,"B,V,g,i,r,u",True,True,True,B,g,r
ASASSN-14mg,ATri,False,False,False,,,
CSP12G,"B,i,H,r,V,Y,Jrc2",True,False,True,B,,r
CSP12J,"B,g,i,r,u,V",True,True,True,B,g,r
CSP12N,"B,g,i,r,V,Y,Jrc2",True,True,True,B,g,r
CSP13Q,"i,B,r,V",True,False,True,B,,r
CSP13V,"B,H,J,V,Y,g,i,r,u",True,True,True,B,g,r
CSP13aad,"B,g,i,r,V,Y,Jrc2",True,True,True,B,g,r
CSP13aaf,"B,i,J,r,V,Y",True,False,True,B,,r
CSP13aam,"i,B,r,J,V",True,False,True,B,,r
CSP13aao,"B,i,r,V,Y,Jrc2",True,False,True,B,,r
CSP13aaq,"B,i,J,r,V,Y,Jrc2",True,False,True,B,,r
CSP13aay,"B,i,r,V,Y,Jrc2",True,False,True,B,,r
CSP13abl,"B,i,H,r,V,Y,Jrc2",True,False,True,B,,r
CSP13abm,"B,g,i,r,u,V",True,True,True,B,g,r
CSP14aal,"B,i,H,r,V,Y,Jrc2",True,False,True,B,,r
CSP14aaq,"B,g,i,r,u,V",True,True,True,B,g,r
CSP14aar,"B,i,H,r,V,Y,Jrc2",True,False,True,B,,r
CSP14abn,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
CSP14acl,"B,g,i,r,u,V",True,True,True,B,g,r
CSP14acy,"B,i,r,V,Y,Jrc2",True,False,True,B,,r
CSP14ade,"B,i,r,V,Y,Jrc2",True,False,True,B,,r
CSS121006_232854+085452,H_WHIRC,False,False,False,,,
CSS121114_090202+101800,"H_WHIRC,J_WHIRC",False,False,False,,,
KISS13j,"B,i,r,V,Y,Jrc2",True,False,True,B,,r
KISS13l,"Y,i,B,r,V",True,False,True,B,,r
KISS15n,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
LSQ11bk,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
LSQ11ot,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
LSQ12bld,"B,g,i,H,r,V,Y,Jrc2",True,True,True,B,g,r
LSQ12btn,"B,g,i,H,r,V,Y,Jrc2",True,True,True,B,g,r
LSQ12ca,"B,g,i,r,u,V",True,True,True,B,g,r
LSQ12cda,"B,g,i,r,V,Y",True,True,True,B,g,r
LSQ12cfx,"B,H,J,V,Y,g,i,r",True,True,True,B,g,r
LSQ12cid,"B,H,J,V,Y,g,i,r,u",True,True,True,B,g,r
LSQ12fhs,"B,H_wirc,J_wirc,R,V,g_2.5m,i_2.5m,r_2.5m,z_2.5m",True,True,True,B,g_2.5m,"R,r_2.5m"
LSQ12fmx,"H_WHIRC,J_WHIRC",False,False,False,,,
LSQ12fuk,"B,i,H,r,V,Y,Jrc2",True,False,True,B,,r
LSQ12fvl,"Jrc2,i,H,r,V,Y,B",True,False,True,B,,r
LSQ12fxd,"Jrc2,i,H,r,u,V,Y,B",True,False,True,B,,r
LSQ12gln,"Jrc2,i,r,V,Y,B",True,False,True,B,,r
LSQ12gpw,"i,B,r,V",True,False,True,B,,r
LSQ12gxj,"i,r,B,V",True,False,True,B,,r
LSQ12gyc,"i,r,B,V",True,False,True,B,,r
LSQ12hjm,"i,r,B,V",True,False,True,B,,r
LSQ12hnx,"B,J,V,Y,i,r",True,False,True,B,,r
LSQ12hvj,"Jrc2,i,H,B,V,Y,r",True,False,True,B,,r
LSQ12hxx,"Jrc2,i,H,r,V,Y,B",True,False,True,B,,r
LSQ12hzj,"B,i,H,r,V,Y,Jrc2",True,False,True,B,,r
LSQ12hzs,"B,i,H,r,V,Y,Jrc2",True,False,True,B,,r
LSQ13aiz,"B,g,i,r,u,V",True,True,True,B,g,r
LSQ13cmt,"H_WHIRC,J_WHIRC",False,False,False,,,
LSQ13crf,"B,U,V,uvw1_swift",True,False,False,B,,
LSQ13cwp,"B,i,H,J,r,V,Y,Jrc2",True,False,True,B,,r
LSQ13dby,"i,Y,B,r,V",True,False,True,B,,r
LSQ13dcy,"Jrc2,i,r,V,Y,B",True,False,True,B,,r
LSQ13dhj,"i,Y,r,B,V",True,False,True,B,,r
LSQ13dkp,"B,i,r,V,Y,Jrc2",True,False,True,B,,r
LSQ13dqh,"i,Y,B,r,V",True,False,True,B,,r
LSQ13dsm,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
LSQ13lq,"B,i,H,J,r,V,Y,Jrc2",True,False,True,B,,r
LSQ13pf,"B,i,H,r,V,Y,Jrc2",True,False,True,B,,r
LSQ13ry,"B,g,i,H,Jrc2,u,V,Y,r",True,True,True,B,g,r
LSQ14act,"B,i,r,V,Y,Jrc2",True,False,True,B,,r
LSQ14age,"B,i,r,V,Y,Jrc2",True,False,True,B,,r
LSQ14ahc,"Jrc2,i,H,r,V,Y,B",True,False,True,B,,r
LSQ14bjj,"B,i,r,V,Y,Jrc2",True,False,True,B,,r
LSQ14fmg,"B,H,J,V,Y,i,r",True,False,True,B,,r
LSQ14fms,"B,i,r,V,Y,Jrc2",True,False,True,B,,r
LSQ14foj,"Jrc2,i,H,r,V,Y,B",True,False,True,B,,r
LSQ14gfb,"B,i,H,r,V,Y,Jrc2",True,False,True,B,,r
LSQ14gfn,"Jrc2,i,H,r,V,Y,B",True,False,True,B,,r
LSQ14ghv,"B,i,H,r,V,Y,Jrc2",True,False,True,B,,r
LSQ14gov,"B,g,i,H,r,V,Y,Jrc2",True,True,True,B,g,r
LSQ14ie,"i,Y,r,B,V",True,False,True,B,,r
LSQ14ip,"B,i,H,r,V,Y,Jrc2",True,False,True,B,,r
LSQ14mc,"i,Y,B,r,V",True,False,True,B,,r
LSQ14wp,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
LSQ14xi,"B,i,H,r,V,Y,Jrc2",True,False,True,B,,r
LSQ15aae,"B,g,i,r,u,V,Y",True,True,True,B,g,r
LSQ15aja,"B,i,Jrc2,V,Y,r",True,False,True,B,,r
LSQ15alq,"B,i,H,r,V,Y,Jrc2",True,False,True,B,,r
OGLE16euo,I,False,False,False,,,
PS1-13eao,"Jrc2,i,H,r,V,Y,B",True,False,True,B,,r
PS1-14xw,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
PS15mt,"g_p1,i_p1,r_p1,z_p1",False,True,True,,g_p1,r_p1
PS15sv,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
PTF10ops,"LTg,LTi,LTr,PTF48R",False,False,False,,,
PTF11pbp,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
PTF11pra,"B,g,i,H,r,V,Y,Jrc2",True,True,True,B,g,r
PTF11qmo,"H_WHIRC,J_WHIRC",False,False,False,,,
PTF11qnr,"V,B,u,g,r,i,Yd,Hd,Jd",True,True,True,B,g,r
PTF13duj,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
PTF13ebh,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
PTF13efe,"B,i,H,r,V,Y,Jrc2",True,False,True,B,,r
PTF14aje,"B,g,i,H,r,u,V,Y,Jrc2",True,True,True,B,g,r
PTF14fpg,"B,g,i,r,u,V",True,True,True,B,g,r
PTF14gnl,"B,i,H,r,V,Y,Jrc2",True,False,True,B,,r
PTF14yy,"B,i,H,r,V,Y,Jrc2",True,False,True,B,,r
SN1981D,"J2m,Vs,Bs,Ks2m,Us,H2m",True,False,False,Bs,,
SN1986G,"B,H,I,J,K,R,U,V",True,False,True,B,,R
SN1998dh,"B,I,R,U,V",True,False,True,B,,R
SN1999cl,"H2m,J2m,Rkait,Ks2m,Bkait,Bs,Ikait,Is,Vkait,Vs",True,False,True,"Bkait,Bs",,Rkait
SN1999ee,"B,H-pers,I,J-pers,Ks-pers,R,U,V,Y-csp",True,False,True,B,,R
SN2001da,"B,B_4Shooter2,I,I_4Shooter2,R,R_4Shooter2,U,V,V_4Shooter2",True,False,True,"B,B_4Shooter2",,"R,R_4Shooter2"
SN2001el,"B,H-pers,I,J-pers,Ks-pers,R,U,V",True,False,True,B,,R
SN2002ha,"B,B_4Shooter2,I,I_4Shooter2,R,R_4Shooter2,U,V,V_4Shooter2",True,False,True,"B,B_4Shooter2",,"R,R_4Shooter2"
SN2002jg,"B,I,R,V",True,False,True,B,,R
SN2003ic,"B_4Shooter2,I_4Shooter2,R_4Shooter2,U,V_4Shooter2",True,False,True,B_4Shooter2,,R_4Shooter2
SN2004ey,"B,g,i,H,K,J,r,u,V,Ydw",True,True,True,B,g,r
SN2004gc,"i,r,B,g,V",True,True,True,B,g,r
SN2004gs,"B,g,i,H,J,r,u,V,Ydw",True,True,True,B,g,r
SN2005M,"B,g,i,H,K,J,r,u,V,Ydw",True,True,True,B,g,r
SN2005ag,"B,g,i,J,r,V,Ydw",True,True,True,B,g,r
SN2005al,"B,g,i,H,K,J,r,u,V,Ydw",True,True,True,B,g,r
SN2005be,"B,g,i,r,u,V",True,True,True,B,g,r
SN2005bs,"B,V,g,u",True,True,False,B,g,
SN2005cf,"B,B_swift,H-2mass,H-pers,I,J-2mass,J-pers,Ks-2mass,Ks-pers,R,U,U_swift,V,V_swift,uvm2_swift,uvw1_swift,uvw2_swift",True,False,True,"B,B_swift",,R
SN2005dm,"B,I,R,V",True,False,True,B,,R
SN2005el,"B,g,i,H,K,J,r,u,V,Y,Ydw",True,True,True,B,g,r
SN2005gj,"B,g,i,H,K,J,r,u,V,Y,Ydw",True,True,True,B,g,r
SN2005hj,"B,g,i,J,r,u,V,Y",True,True,True,B,g,r
SN2005hk,"B,g,i,H,K,J,r,u,V,Y,Ydw",True,True,True,B,g,r
SN2005ir,"B,g,i,r,u,V",True,True,True,B,g,r
SN2005ke,"B,g,i,H,K,J,r,u,V,Y,Ydw",True,True,True,B,g,r
SN2005ki,"B,g,i,H,J,r,u,V,Y,Ydw",True,True,True,B,g,r
SN2005ku,"B,g,i,r,u,V,Y",True,True,True,B,g,r
SN2005lu,"B,g,i,r,u,V,Y",True,True,True,B,g,r
SN2005na,"B,g,i,H,J,r,u,V,Y,Ydw",True,True,True,B,g,r
SN2006E,"B_swift,H-2mass,J-2mass,Ks-2mass,U_swift,V_swift,uvm2_swift,uvw1_swift,uvw2_swift",True,False,False,B_swift,,
SN2006X,"B,g,i,H,K,J,r,u,V,Y,Ydw",True,True,True,B,g,r
SN2006bh,"B,g,i,H,J,r,u,V,Y,Ydw",True,True,True,B,g,r
SN2006br,"B,g,i,H,J,r,V,Y",True,True,True,B,g,r
SN2006bt,"B,g,i,H,J,r,u,V,Y",True,True,True,B,g,r
SN2006cm,"B_Keplercam,V_Keplercam,i_Keplercam,r_Keplercam",True,False,True,B_Keplercam,,r_Keplercam
SN2006dd,"B,g,i,r,u,V,Y",True,True,True,B,g,r
SN2006ef,"B,g,i,r,u,V",True,True,True,B,g,r
SN2006ej,"B,g,i,H,J,r,u,V,Y",True,True,True,B,g,r
SN2006eq,"B,g,i,H,J,r,u,V,Y,Ydw",True,True,True,B,g,r
SN2006fw,"B,g,i,r,u,V",True,True,True,B,g,r
SN2006gt,"B,g,i,H,J,r,u,V,Y,Ydw",True,True,True,B,g,r
SN2006hb,"B,g,i,H,J,r,u,V,Y",True,True,True,B,g,r
SN2006hx,"B,g,i,H,J,r,u,V,Ydw",True,True,True,B,g,r
SN2006is,"B,g,i,H,J,r,u,V,Y,Ydw",True,True,True,B,g,r
SN2006lu,"B,g,i,r,u,V,Y,Ydw",True,True,True,B,g,r
